order_id,customer_id,order_date,status,total_amount,discount_pct
O0000092,C00310,26/01/2024,pending,615.91,20.0
O0000034,C00088,2023-12-13,completed,35.93,5.0
O0000656,C00155,2022-02-24,cancelled,1792.26,
O0000538,C00312,2023-07-16,pending,1749.78,10.0
O0000268,C00186,2024-03-08,pending,931.34,0.0
O0000312,C00162,2023-04-03,shipped,2305.3,0.0
O0001466,C00012,24/05/2023,shipped,956.43,5.0
O0000602,C00380,2024-01-08,shipped,1988.32,20.0
O0001755,C00322,2024-03-08,pending,1302.09,25.0
O0001355,C00074,2022-11-28,shipped,2145.86,0.0
O0001409,C00078,13/11/2023,refunded,661.21,25.0
O0000110,C00136,2024-01-24,pending,,0.0
O0001068,C00280,2022-07-28,completed,975.23,15.0
O0000052,C00328,31/12/2023,shipped,387.96,15.0
O0000796,C00190,05/01/2022,shipped,274.0,
O0000416,,2023-06-17,completed,1426.75,5.0
O0000364,,2022-06-25,cancelled,,5.0
O0000668,C00199,2022-10-21,pending,1922.04,5.0
O0001051,C00440,2022-09-24,completed,2372.41,20.0
O0000729,C00223,12/03/2022,shipped,1133.04,0.0
O0000935,C00373,2024-01-02,shipped,1663.68,0.0
O0001591,C00256,2022-06-15,refunded,1926.89,0.0
O0000091,C00071,2022-10-09,completed,1409.71,0.0
O0000631,C00062,2023-01-02,completed,781.91,25.0
O0001201,,2023-09-20,completed,1279.41,0.0
O0001597,C00400,2023-01-07,completed,255.25,25.0
O0001511,C00296,07/06/2023,cancelled,2332.48,25.0
O0001642,C00296,2022-09-24,shipped,416.19,25.0
O0000666,C00462,19/01/2024,cancelled,1542.42,15.0
O0000536,C00043,2024-02-05,shipped,404.02,0.0
O0001797,C00386,2023-01-28,pending,1241.5,0.0
O0000582,C00304,2023-11-16,pending,1053.21,0.0
O0001518,C00335,11/12/2022,refunded,-874.4,20.0
O0001000,C00419,2022-10-02,cancelled,1185.46,0.0
O0000008,C00067,2023-06-07,pending,1453.19,0.0
O0001959,C00183,2022-04-15,pending,,0.0
O0000976,C00217,2022-10-11,cancelled,427.15,0.0
O0001080,C00486,2022-08-12,refunded,-1695.42,25.0
O0001628,C00472,2023-12-09,completed,1810.89,10.0
O0001770,C00414,11/10/2023,completed,818.65,0.0
O0000483,C00475,2023-05-03,pending,722.3,0.0
O0000832,C00238,2023-01-09,shipped,22.45,5.0
O0001464,C00080,2022-08-26,completed,2429.66,0.0
O0000014,C00404,2024-03-05,completed,338.8,
O0001552,C00293,2024-02-27,pending,2338.25,25.0
O0001699,C00456,2023-11-23,pending,1756.81,25.0
O0001033,C00056,2022-04-10,pending,1740.56,15.0
O0000359,,2022-02-20,completed,572.34,10.0
O0001937,C00223,27/07/2023,cancelled,2332.98,0.0
O0001623,C00151,2023-06-14,refunded,1886.65,0.0
O0001035,C00339,2022-08-10,cancelled,1469.93,10.0
O0000537,C00065,2023-02-17,refunded,299.72,15.0
O0000975,C00142,06/06/2023,pending,993.98,0.0
O0001912,C00351,2022-03-27,cancelled,2199.51,0.0
O0000063,C00028,2024-02-06,completed,408.65,0.0
O0001377,,2022-10-11,shipped,2493.28,15.0
O0000144,C00218,2023-07-19,cancelled,147.97,0.0
O0000318,C00229,2023-02-02,pending,1296.18,
O0001913,C00372,2022-05-02,shipped,1177.87,20.0
O0001400,C00144,10/09/2023,refunded,525.68,0.0
O0001040,C00087,28/01/2023,refunded,1523.79,10.0
O0000009,C00106,01/03/2024,shipped,1421.53,0.0
O0001497,C00175,2022-02-21,pending,2050.01,10.0
O0001583,C00267,2023-02-21,cancelled,750.64,
O0000395,C00462,2024-04-29,completed,2376.87,10.0
O0001060,C00423,2023-12-06,pending,1244.56,0.0
O0001582,C00425,07/03/2023,completed,961.32,15.0
O0001678,C00438,2022-08-21,completed,219.4,20.0
O0000349,C00029,16/05/2023,shipped,1508.59,0.0
O0000756,C00162,2022-01-29,completed,515.78,20.0
O0000195,C00275,2023-10-21,shipped,680.5,10.0
O0001581,C00069,2023-07-14,completed,82.0,0.0
O0001560,C00310,2024-05-05,refunded,898.68,25.0
O0001339,C00436,03/09/2023,completed,377.65,0.0
O0000735,C00378,2023-07-05,refunded,643.0,0.0
O0000851,C00340,2023-08-28,cancelled,1854.59,15.0
O0000213,C00095,2023-01-29,shipped,2384.86,0.0
O0001250,C00194,20/10/2023,completed,1270.59,0.0
O0001374,C00173,2023-02-28,shipped,121.53,0.0
O0001394,C00049,2024-03-13,shipped,613.18,20.0
O0000514,C00182,2022-09-27,completed,732.02,20.0
O0000565,C00289,2023-08-21,pending,1135.3,20.0
O0001210,C00151,2022-06-18,cancelled,359.42,5.0
O0001472,C00056,2023-05-18,pending,1809.26,0.0
O0000739,C00343,24/07/2023,refunded,1351.05,
O0001649,C00347,2023-12-10,completed,897.3,10.0
O0000390,C00136,2022-08-05,pending,219.57,25.0
O0001843,C00014,2023-08-05,completed,149.47,
O0000134,C00167,2023-04-23,shipped,734.38,20.0
O0000510,C00206,2022-09-16,shipped,2386.99,15.0
O0001185,C00418,2023-01-12,shipped,726.08,20.0
O0001075,C00201,2023-05-13,shipped,87.92,25.0
O0000623,C00424,2023-12-18,pending,1339.35,
O0001259,C00073,2022-03-26,refunded,1816.91,25.0
O0000584,C00010,2024-04-04,refunded,174.28,5.0
O0000657,C00443,23/02/2022,completed,1157.95,0.0
O0000967,C00018,2023-10-19,pending,510.72,0.0
O0000827,C00074,2023-10-20,shipped,-1587.63,0.0
O0001879,C00010,26/01/2023,refunded,-692.8,5.0
O0001475,C00282,2023-02-03,cancelled,2400.53,15.0
O0000809,C00378,05/05/2023,shipped,1963.48,15.0
O0000333,C00161,2023-10-15,pending,1895.5,0.0
O0000833,C00413,13/12/2022,cancelled,1528.24,25.0
O0000881,C00053,2022-08-20,refunded,433.45,0.0
O0001771,C00212,2024-01-28,pending,425.57,25.0
O0001944,C00003,2023-07-20,refunded,1118.16,0.0
O0000129,C00186,2023-11-20,cancelled,-1200.66,0.0
O0001542,C00464,2023-10-20,shipped,1400.39,20.0
O0000528,C00230,2022-01-19,cancelled,656.21,
O0000767,C00216,2023-04-04,refunded,1472.71,20.0
O0001129,C00496,2023-10-27,cancelled,1838.08,25.0
O0001641,C00020,2024-02-17,pending,541.7,0.0
O0001292,C00157,04/11/2023,refunded,2298.47,20.0
O0000224,C00093,2022-09-24,shipped,990.81,15.0
O0001847,C00215,2023-02-18,cancelled,356.99,25.0
O0000107,C00326,28/05/2022,shipped,831.47,0.0
O0001069,C00322,2023-11-10,refunded,666.18,0.0
O0000769,C00328,09/05/2024,completed,838.11,20.0
O0000342,C00170,18/07/2022,shipped,1918.32,5.0
O0000293,C00359,2022-04-07,shipped,2161.03,5.0
O0001832,C00057,2022-05-31,refunded,2045.7,25.0
O0001243,C00243,2022-10-30,refunded,1992.51,20.0
O0001285,C00165,28/01/2023,shipped,2120.52,5.0
O0000172,,09/09/2022,shipped,2040.5,20.0
O0001482,C00450,2023-03-10,cancelled,1003.18,25.0
O0001283,C00371,2023-08-21,completed,454.91,5.0
O0001706,C00433,2022-09-01,pending,2379.9,0.0
O0001367,,2024-01-25,pending,1336.43,5.0
O0001725,C00351,13/11/2022,cancelled,416.13,0.0
O0000258,C00189,05/02/2024,refunded,258.91,5.0
O0001341,C00228,2022-12-22,pending,2007.61,0.0
O0000825,C00013,2022-03-03,cancelled,230.38,15.0
O0000535,C00334,2022-08-24,refunded,93.65,0.0
O0000638,C00220,2024-04-12,completed,749.05,20.0
O0000087,C00074,28/12/2023,refunded,256.4,10.0
O0001414,C00415,2023-01-10,pending,2144.64,0.0
O0000838,C00361,2024-04-11,refunded,2165.58,0.0
O0000880,C00216,2022-01-13,refunded,2110.29,15.0
O0000174,C00252,25/05/2022,refunded,2199.27,25.0
O0001745,C00273,30/01/2023,pending,2461.09,25.0
O0001041,C00234,16/07/2023,pending,2006.58,5.0
O0001312,C00222,2024-01-15,cancelled,1072.73,0.0
O0000300,C00219,2023-06-12,shipped,2028.19,0.0
O0000952,C00471,05/08/2022,cancelled,1617.89,20.0
O0000235,C00256,2023-03-09,completed,82.95,5.0
O0001300,C00060,2022-07-01,pending,174.23,25.0
O0001272,C00393,2024-02-07,refunded,1082.58,0.0
O0001581,C00069,2023-07-14,completed,82.0,0.0
O0001997,C00244,07/02/2023,refunded,1174.82,20.0
O0000479,C00215,2022-03-01,shipped,1597.68,0.0
O0001320,C00263,2023-08-22,cancelled,2179.52,0.0
O0001590,C00404,2024-02-24,completed,2153.92,20.0
O0000962,C00121,23/02/2023,cancelled,362.02,0.0
O0000200,C00111,2024-05-14,shipped,1411.7,5.0
O0000439,C00346,2023-10-07,refunded,1811.2,25.0
O0001650,C00098,17/01/2024,pending,2203.03,0.0
O0000545,C00309,12/01/2022,pending,1606.32,15.0
O0001097,C00239,2024-05-28,cancelled,1847.88,20.0
O0001375,C00334,2022-06-30,refunded,1584.16,20.0
O0000308,C00030,2023-07-06,shipped,794.57,0.0
O0001787,C00093,2023-11-19,cancelled,169.92,15.0
O0001827,,2022-07-16,refunded,1546.79,0.0
O0000345,C00162,2023-08-02,cancelled,,0.0
O0001323,C00253,08/02/2022,pending,1778.14,0.0
O0000556,C00442,2022-10-11,cancelled,1568.8,20.0
O0000724,C00018,2023-06-10,completed,1775.52,0.0
O0001166,C00160,2024-03-31,pending,1044.74,5.0
O0000003,C00042,2022-07-02,pending,2430.32,
O0001248,C00236,2023-04-27,refunded,218.12,0.0
O0000166,C00115,2024-01-05,shipped,115.77,25.0
O0000476,C00212,2022-01-12,shipped,2028.13,0.0
O0000588,C00262,29/06/2023,refunded,1935.16,
O0000368,C00078,2022-03-08,shipped,1130.72,25.0
O0001983,C00400,11/06/2024,completed,-1407.38,0.0
O0000938,C00199,2023-09-24,pending,937.95,10.0
O0001262,C00106,2022-02-17,pending,433.69,25.0
O0001692,C00314,2023-10-17,refunded,1075.11,
O0001143,C00159,2023-04-13,completed,392.23,10.0
O0000732,C00186,2022-12-09,completed,1777.7,0.0
O0000972,C00482,2022-01-14,shipped,1561.31,5.0
O0000450,C00496,06/09/2023,pending,2066.53,0.0
O0000399,C00089,2022-06-12,shipped,483.85,0.0
O0000076,C00009,19/01/2022,completed,300.62,
O0000674,C00101,2023-12-24,completed,360.26,25.0
O0001284,C00118,2022-09-22,completed,2136.62,10.0
O0000451,C00289,2022-04-19,cancelled,418.21,0.0
O0001171,C00106,2022-07-28,pending,1220.11,15.0
O0001915,C00218,2022-06-03,completed,2140.85,0.0
O0001824,C00001,2022-08-12,shipped,64.65,25.0
O0001988,C00249,2024-01-11,shipped,1840.72,
O0001280,C00060,2023-06-10,pending,,15.0
O0001785,C00190,24/04/2024,pending,770.26,5.0
O0001049,C00433,28/09/2023,pending,1142.73,15.0
O0000181,C00479,2024-06-22,cancelled,2131.19,20.0
O0001859,C00134,2023-08-23,refunded,1482.27,0.0
O0000305,C00130,02/05/2022,completed,220.69,0.0
O0000519,C00048,2023-02-14,shipped,2195.68,10.0
O0001842,C00045,2023-06-26,pending,483.18,0.0
O0001998,C00355,2024-04-23,shipped,658.77,0.0
O0001277,C00239,2024-02-23,refunded,214.98,15.0
O0001576,C00203,2024-03-02,shipped,1048.09,5.0
O0000964,C00258,09/10/2023,shipped,267.69,0.0
O0000048,C00003,2023-08-29,pending,2482.78,15.0
O0000936,,2022-10-20,completed,1511.92,10.0
O0000472,,2023-02-17,cancelled,1949.24,5.0
O0000606,C00352,2023-09-11,cancelled,2017.3,15.0
O0000373,C00275,04/04/2022,completed,1200.87,20.0
O0001744,C00403,30/08/2023,pending,1600.05,10.0
O0001934,C00081,22/04/2022,completed,1167.65,15.0
O0001470,C00166,2023-05-24,completed,1306.47,20.0
O0000797,C00066,2022-09-17,refunded,148.21,5.0
O0000556,C00442,2022-10-11,cancelled,1568.8,20.0
O0001604,C00479,2023-10-11,pending,2073.75,
O0001436,C00278,2024-03-22,pending,722.11,5.0
O0000173,C00137,2022-08-14,cancelled,746.84,0.0
O0000343,C00421,02/10/2023,refunded,591.19,15.0
O0001956,C00366,2022-08-20,pending,1173.68,5.0
O0000626,C00173,2022-01-20,pending,1776.11,15.0
O0001809,C00474,2023-10-01,shipped,2116.34,15.0
O0000762,C00402,2022-06-06,refunded,1214.12,25.0
O0000532,C00033,2024-06-01,completed,115.92,
O0000032,C00176,2022-05-29,cancelled,923.39,0.0
O0000645,C00077,2023-11-14,refunded,2481.67,25.0
O0000016,,24/11/2022,pending,1490.0,0.0
O0000761,C00365,2024-01-06,refunded,1316.02,0.0
O0000491,C00440,2022-06-27,shipped,115.14,0.0
O0001936,C00232,2024-05-11,cancelled,1026.32,
O0000654,C00464,2022-10-30,cancelled,-1656.09,15.0
O0000149,C00148,2024-05-04,cancelled,,20.0
O0000412,C00130,2024-04-26,shipped,257.49,0.0
O0001007,C00451,06/01/2024,cancelled,563.78,0.0
O0001257,C00255,2023-02-26,refunded,263.77,0.0
O0001112,C00382,2022-06-21,refunded,,10.0
O0000319,C00111,2022-08-04,cancelled,1353.73,0.0
O0001965,C00316,2023-08-13,shipped,,20.0
O0001220,C00334,2023-08-21,refunded,2261.26,10.0
O0001906,C00211,2023-06-22,cancelled,1526.4,0.0
O0001533,C00143,2022-07-18,pending,532.91,0.0
O0001777,C00357,2024-01-09,pending,1417.68,25.0
O0000296,C00312,2022-10-24,completed,1623.04,15.0
O0000396,C00406,2023-08-23,cancelled,1830.52,0.0
O0000054,,2024-01-17,shipped,986.29,10.0
O0000857,C00301,2023-07-09,cancelled,2181.06,25.0
O0000211,C00316,2024-05-10,completed,177.0,25.0
O0001290,C00201,2023-08-03,shipped,153.75,20.0
O0000415,C00370,2023-10-15,refunded,1423.81,10.0
O0001911,C00450,2022-11-27,pending,,25.0
O0000751,C00161,2024-06-07,refunded,670.94,15.0
O0001784,C00421,2023-01-09,cancelled,1002.55,5.0
O0001886,C00193,2023-05-02,shipped,1536.17,10.0
O0000876,C00464,2024-04-19,completed,1504.19,0.0
O0001123,C00261,16/08/2022,shipped,1158.96,0.0
O0001174,C00443,2022-11-01,completed,368.52,5.0
O0001312,C00222,2024-01-15,cancelled,1072.73,0.0
O0000416,,2023-06-17,completed,1426.75,5.0
O0001261,C00088,2023-02-25,completed,541.52,0.0
O0000190,C00179,2023-04-24,shipped,2400.76,15.0
O0001945,C00068,2023-05-13,pending,585.16,5.0
O0001586,C00054,21/02/2023,shipped,1817.72,0.0
O0000389,C00149,21/08/2022,refunded,544.92,15.0
O0001894,C00028,2022-04-13,pending,122.45,
O0000604,C00309,2023-03-13,refunded,-591.15,0.0
O0001540,C00233,2023-12-20,completed,1828.77,5.0
O0000799,C00076,20/06/2022,pending,1411.75,0.0
O0001740,C00473,2022-01-26,cancelled,1491.43,0.0
O0000639,C00032,2022-03-14,shipped,1067.38,5.0
O0000360,C00130,2022-10-29,shipped,2240.28,0.0
O0001711,C00343,2023-06-02,completed,1066.63,15.0
O0000175,C00196,2022-08-08,completed,532.0,10.0
O0000719,C00257,27/11/2023,cancelled,830.9,0.0
O0000053,C00086,2022-08-21,pending,2371.87,25.0
O0000655,C00492,2023-05-01,completed,2411.31,10.0
O0000985,C00336,2023-04-18,shipped,26.16,15.0
O0001954,C00488,2024-05-15,refunded,1924.78,5.0
O0001232,C00308,2022-12-23,completed,502.06,20.0
O0000507,C00493,2022-07-30,pending,2163.77,0.0
O0000966,C00314,2022-12-03,shipped,893.09,0.0
O0001184,C00004,2024-01-20,pending,906.47,5.0
O0000377,C00381,22/05/2024,shipped,2465.47,0.0
O0000686,C00098,02/04/2024,cancelled,1064.09,0.0
O0000869,C00447,2024-06-13,refunded,1961.57,0.0
O0000116,C00123,2023-05-20,cancelled,1621.45,0.0
O0000868,C00128,12/08/2022,cancelled,,0.0
O0000527,C00348,2023-11-21,shipped,2171.91,25.0
O0000850,C00159,2022-06-27,completed,899.82,0.0
O0001803,C00230,2023-04-10,completed,400.51,0.0
O0001024,C00425,2023-04-26,shipped,,15.0
O0000132,C00164,2022-01-12,pending,1770.66,20.0
O0001032,C00144,2024-04-05,pending,52.8,5.0
O0001161,C00218,10/06/2023,pending,1760.3,25.0
O0000179,C00142,2022-09-30,completed,66.82,0.0
O0000126,C00087,2023-08-08,cancelled,1761.78,10.0
O0000081,C00259,01/05/2023,pending,1143.34,20.0
O0000946,C00346,09/10/2023,cancelled,-2124.63,5.0
O0000713,C00407,2022-03-21,shipped,1594.29,0.0
O0000811,C00402,20/12/2023,cancelled,347.55,0.0
O0000434,C00455,2023-07-13,completed,2285.58,15.0
O0000272,C00229,07/02/2022,refunded,2195.39,5.0
O0001385,C00380,2022-05-24,refunded,2071.44,15.0
O0000804,C00110,17/05/2022,pending,417.44,10.0
O0001989,C00012,2022-02-05,refunded,2088.27,0.0
O0001476,C00377,29/03/2023,cancelled,1156.42,0.0
O0001881,C00368,2022-06-27,completed,1270.08,0.0
O0000848,C00226,2024-06-22,cancelled,227.54,20.0
O0001089,C00354,2023-02-15,refunded,1331.02,0.0
O0000041,C00391,18/08/2023,pending,742.0,5.0
O0001255,C00358,2023-09-01,shipped,802.56,0.0
O0001630,C00119,2022-07-22,completed,999.92,0.0
O0000130,C00043,2023-10-17,pending,-159.4,0.0
O0001585,C00127,2023-12-27,completed,37.88,5.0
O0000073,C00038,2023-12-01,cancelled,953.69,0.0
O0001498,C00143,2022-01-04,cancelled,1848.51,0.0
O0001567,C00173,2022-02-22,pending,711.34,
O0001195,C00037,26/09/2023,shipped,1177.77,0.0
O0000968,C00140,14/06/2022,completed,1814.16,0.0
O0001512,C00315,25/05/2022,cancelled,2419.68,20.0
O0001283,C00371,2023-08-21,completed,454.91,5.0
O0001199,C00400,2022-07-23,refunded,1544.63,25.0
O0000934,C00322,2022-01-23,cancelled,1557.41,5.0
O0001401,C00352,2022-02-16,pending,1118.06,15.0
O0000324,C00260,2023-02-26,completed,63.03,25.0
O0000090,C00097,02/03/2022,pending,156.46,10.0
O0000139,C00306,10/01/2022,completed,1140.04,20.0
O0001918,C00065,01/10/2023,pending,92.88,10.0
O0000185,C00008,2022-03-24,cancelled,629.18,0.0
O0001837,C00235,2024-04-14,completed,784.21,15.0
O0001779,C00103,2023-10-19,shipped,2464.74,0.0
O0001716,C00172,2022-04-09,refunded,1207.21,0.0
O0001790,,2024-06-12,refunded,1813.79,10.0
O0001159,C00260,2023-03-31,shipped,1975.65,0.0
O0000899,C00296,2022-07-06,pending,1469.05,0.0
O0000274,C00341,2022-05-16,shipped,117.13,5.0
O0001718,C00493,2023-04-28,completed,884.58,0.0
O0000712,C00354,10/05/2022,completed,1729.31,20.0
O0000022,C00191,2024-06-27,refunded,510.0,10.0
O0000044,C00150,2022-06-29,refunded,2058.55,25.0
O0000045,C00451,05/06/2023,shipped,1403.13,0.0
O0000860,C00273,2022-02-15,pending,599.9,0.0
O0000630,C00171,30/04/2023,completed,186.12,5.0
O0000428,C00482,2023-12-02,cancelled,1366.37,20.0
O0001783,,2022-03-10,cancelled,1436.11,25.0
O0000194,C00496,2023-01-25,cancelled,1716.15,
O0001294,C00056,2023-05-23,shipped,692.44,20.0
O0001001,C00422,2023-07-04,completed,473.79,5.0
O0001371,C00370,05/09/2023,pending,1873.58,15.0
O0000259,,17/01/2022,completed,1280.62,0.0
O0001200,C00375,30/11/2022,refunded,881.92,0.0
O0000379,C00141,2024-06-22,completed,659.42,10.0
O0000669,C00171,2022-09-25,pending,1816.89,15.0
O0000593,C00127,02/01/2022,pending,188.66,15.0
O0000845,C00413,21/10/2023,shipped,1903.52,0.0
O0000984,C00157,02/11/2023,pending,908.65,20.0
O0000463,C00175,2023-07-20,cancelled,966.96,25.0
O0000286,C00118,2022-01-02,cancelled,629.69,15.0
O0000098,C00341,2024-04-16,completed,2216.96,20.0
O0000056,C00151,2022-08-16,cancelled,,25.0
O0000725,C00221,05/05/2024,pending,323.11,25.0
O0000733,C00107,2023-07-09,completed,1626.11,20.0
O0001648,C00198,2024-04-21,pending,836.6,0.0
O0000228,C00077,2022-03-08,cancelled,256.87,0.0
O0000448,C00354,02/04/2022,refunded,2487.18,0.0
O0001976,C00124,2022-11-25,refunded,1134.14,5.0
O0001655,C00424,10/06/2022,cancelled,2320.63,0.0
O0000927,,07/06/2023,refunded,2394.88,0.0
O0001218,C00042,2023-11-27,cancelled,2388.78,0.0
O0001424,C00296,2024-05-19,completed,1522.15,10.0
O0000307,C00210,12/02/2023,shipped,672.0,0.0
O0000071,C00274,2023-02-26,cancelled,1711.19,
O0000821,C00275,2022-03-24,pending,978.32,15.0
O0001338,C00178,2022-02-21,cancelled,159.54,20.0
O0001768,C00271,2023-11-27,pending,388.82,25.0
O0000773,C00149,11/04/2022,pending,2355.05,25.0
O0001270,,2022-08-03,cancelled,1628.14,5.0
O0000947,C00233,26/06/2023,cancelled,465.54,10.0
O0001578,C00245,15/02/2024,pending,2490.77,20.0
O0001819,C00014,2024-03-08,shipped,2260.93,25.0
O0000564,C00416,2022-12-26,completed,890.51,5.0
O0001002,C00320,04/09/2023,pending,1098.28,0.0
O0001224,C00102,23/11/2022,completed,974.64,15.0
O0001829,C00192,24/12/2023,cancelled,2336.84,0.0
O0001895,C00204,2024-03-20,shipped,-1207.56,0.0
O0001114,C00398,23/01/2023,refunded,2302.45,0.0
O0000759,C00150,25/01/2024,pending,1003.67,10.0
O0001786,C00140,24/11/2023,completed,2107.21,
O0000225,C00105,2022-04-19,refunded,706.88,0.0
O0000522,C00374,27/03/2023,completed,2095.76,0.0
O0000331,C00020,2022-12-19,completed,813.33,15.0
O0000618,C00449,2022-06-08,refunded,1288.08,10.0
O0001361,C00222,2022-12-28,cancelled,2273.14,
O0001751,C00024,11/03/2022,refunded,686.25,25.0
O0001206,C00172,2024-04-18,shipped,2463.63,15.0
