item_id,order_id,product_id,quantity,unit_price,category
I000002660,O0000899,P0049,2,33.86,beauty
I000005916,O0001982,P0176,6,226.89,toys
I000006091,O_GHOST_13927,P0409,3,6.76,toys
I000005844,O0001960,P0170,2,422.48,clothing
I000001931,O0000655,P0103,4,180.01,books
I000004322,O0001475,P0084,9,210.5,sports
I000005388,O0001823,P0361,9,483.61,beauty
I000005107,O0001730,P0364,1,107.99,home_garden
I000004727,O0001607,P0188,5,17.5,food_drink
I000000658,O0000230,P0400,9,445.06,toys
I000005596,O0001885,P0338,9,431.65,
I000003990,O0001363,P0311,7,212.99,home_garden
I000004970,O0001686,P0238,2,365.27,toys
I000004361,O0001487,P0126,5,241.81,beauty
I000001634,O0000555,P0043,6,280.44,home_garden
I000004399,O0001498,P0391,9,67.52,food_drink
I000004231,O0001446,P0410,4,327.08,food_drink
I000004520,O0001535,P0279,7,472.07,electronics
I000000365,O0000128,P0423,1,37.2,books
I000000135,O0000051,P0321,7,248.44,toys
I000003916,O0001336,P0462,1,256.7,toys
I000003326,O0001128,P0117,1,314.06,beauty
I000002291,O0000778,P0070,6,86.81,books
I000004757,O0001615,P0414,6,341.3,sports
I000000466,O0000165,P0176,1,113.86,sports
I000002396,O0000812,P0492,5,316.31,food_drink
I000004001,O0001367,P0281,2,62.32,toys
I000005288,O0001789,P0446,3,352.52,
I000002852,O0000959,P0401,7,385.04,clothing
I000004083,O0001391,P0441,5,353.94,electronics
I000005354,O0001813,P0091,9,86.37,toys
I000001815,O0000617,P0352,2,104.22,electronics
I000004168,O0001424,P0214,1,75.89,clothing
I000003916,O0001336,P0462,1,256.7,toys
I000004408,O0001500,P0065,3,30.23,food_drink
I000003941,O0001348,P0374,5,133.91,toys
I000000211,O0000076,P0420,7,266.02,food_drink
I000004842,O0001642,P0434,3,189.34,toys
I000004566,O0001552,P0226,3,79.16,books
I000005599,O0001886,P0247,9,304.47,toys
I000000570,O0000200,P0407,6,36.32,sports
I000005675,O0001912,P0186,4,404.58,sports
I000002923,O0000984,P0136,3,398.74,electronics
I000003026,O0001021,P0337,9,160.9,clothing
I000001741,O0000592,P0036,7,19.85,beauty
I000000585,O0000205,P0373,7,244.98,clothing
I000000374,O0000130,P0013,5,110.28,books
I000004190,O0001432,P0308,3,389.47,beauty
I000002410,O0000819,P0070,6,387.23,clothing
I000003987,O0001361,P0242,3,379.28,clothing
I000005961,O0001997,P0499,8,136.2,toys
I000005562,O0001875,P0087,6,107.06,clothing
I000002659,O0000898,P0098,4,15.42,home_garden
I000000814,O0000282,P0421,9,463.47,books
I000003901,O0001331,P0259,8,251.45,home_garden
I000004169,O0001425,P0211,3,125.94,toys
I000003757,O0001277,P0034,3,132.56,toys
I000003699,O0001258,P0367,4,16.66,beauty
I000005765,O0001938,P0285,6,96.55,books
I000002876,O0000968,P0399,1,357.27,clothing
I000004047,O0001382,P0305,6,390.77,electronics
I000000218,O0000077,P0272,8,59.12,clothing
I000001453,O0000493,P0480,5,295.01,food_drink
I000004344,O0001482,P0003,3,485.89,food_drink
I000001081,O0000371,P0312,2,433.32,food_drink
I000000749,O0000261,P0225,2,150.42,sports
I000001650,O0000560,P0438,1,384.63,sports
I000004974,O0001688,P0480,2,245.17,food_drink
I000005564,O0001876,P0389,5,244.31,food_drink
I000001849,O0000628,P0168,4,401.95,home_garden
I000003184,O0001085,P0157,1,119.19,toys
I000002167,O0000732,P0448,6,362.2,books
I000001421,O0000482,P0233,9,422.34,electronics
I000000368,O0000129,P0423,3,418.52,
I000001045,O0000359,P0106,6,1.21,electronics
I000001079,O0000370,P0041,7,145.49,beauty
I000000366,O0000128,P0312,8,318.74,beauty
I000003375,O0001143,P0044,2,46.95,clothing
I000001649,O0000560,P0152,1,418.97,clothing
I000002077,O0000700,P0174,6,471.9,toys
I000000744,O0000260,P0218,7,489.03,food_drink
I000002972,O0000999,P0025,8,466.68,home_garden
I000003744,O0001272,P0217,6,73.5,home_garden
I000004346,O0001483,P0237,9,83.68,books
I000000821,O0000286,P0318,8,89.85,food_drink
I000002821,O0000948,P0191,6,116.99,sports
I000000875,O0000303,P0323,8,201.24,books
I000003645,O0001242,P0168,1,311.79,food_drink
I000000572,O0000201,P0056,8,431.07,electronics
I000004830,O0001639,P0296,8,98.61,clothing
I000004768,O0001619,P0137,8,226.46,clothing
I000003236,O0001100,P0282,3,262.36,electronics
I000005893,O0001974,P0334,9,224.37,home_garden
I000002832,O0000950,P0016,5,360.14,clothing
I000001345,O0000455,P0178,4,396.74,beauty
I000004668,O0001587,P0264,9,64.71,beauty
I000001286,O0000435,P0369,2,492.32,clothing
I000003658,O0001247,P0492,5,312.33,electronics
I000001977,O0000669,P0493,8,233.56,toys
I000002945,O0000992,P0447,9,214.85,books
I000004195,O0001434,P0001,7,378.09,beauty
I000005067,O0001717,P0039,9,97.55,sports
I000004957,O0001681,P0201,1,226.14,books
I000005494,O0001854,P0485,4,68.07,sports
I000003450,O0001165,P0413,2,279.57,beauty
I000006015,O_GHOST_43032,P0341,6,351.48,electronics
I000005943,O0001991,P0031,7,323.9,home_garden
I000001020,O0000350,P0056,7,464.48,electronics
I000001561,O0000530,P0368,4,314.54,clothing
I000002040,O0000688,P0208,7,374.01,beauty
I000002265,O0000768,P0039,7,56.62,clothing
I000001615,O0000548,P0249,8,94.07,clothing
I000004983,O0001690,P0189,7,169.02,electronics
I000003399,O0001149,P0376,6,6.61,toys
I000003208,O0001092,P0240,3,153.51,books
I000001878,O0000637,P0324,9,32.63,beauty
I000006135,O_GHOST_34663,P0300,1,458.99,books
I000005485,O0001850,P0489,9,495.35,toys
I000005761,O0001937,P0176,4,187.66,toys
I000001742,O0000592,P0296,9,125.6,electronics
I000002531,O0000854,P0043,8,236.8,books
I000005461,O0001842,P0497,8,191.98,sports
I000001496,O0000507,P0216,6,141.8,food_drink
I000001350,O0000456,P0483,2,59.39,books
I000001834,O0000623,P0104,2,485.88,toys
I000003043,O0001029,P0472,6,441.51,toys
I000005064,O0001717,P0357,6,233.86,food_drink
I000005963,O0001998,P0133,9,16.09,clothing
I000002464,O0000833,P0132,8,216.58,food_drink
I000005161,O0001746,P0192,6,324.7,clothing
I000000251,O0000088,P0112,5,289.95,beauty
I000000278,O0000097,P0481,9,319.42,home_garden
I000001218,O0000412,P0481,3,277.98,beauty
I000000657,O0000230,P0195,1,131.83,beauty
I000003310,O0001124,P0103,4,175.42,home_garden
I000005497,O0001854,P0440,5,159.72,toys
I000004644,O0001577,P0293,1,229.46,home_garden
I000004610,O0001567,P0063,6,189.08,home_garden
I000001116,O0000380,P0113,4,240.07,electronics
I000004570,O0001554,P0243,7,401.65,clothing
I000004599,O0001564,P0384,3,23.02,toys
I000003233,O0001099,P0301,3,480.02,toys
I000005055,O0001715,P0219,8,75.53,beauty
I000004588,O0001559,P0074,3,259.7,beauty
I000004586,O0001559,P0054,6,64.35,clothing
I000000566,O0000198,P0192,9,381.25,toys
I000006050,O_GHOST_55603,P0366,9,144.58,beauty
I000004127,O0001406,P0124,7,385.99,electronics
I000000172,O0000064,P0253,8,264.85,books
I000001576,O0000535,P0488,8,376.38,books
I000000058,O0000025,P0148,6,208.62,toys
I000003441,O0001163,P0017,9,322.53,beauty
I000000791,O0000274,P0244,4,49.57,home_garden
I000001100,O0000376,P0076,1,79.46,beauty
I000004908,O0001662,P0414,3,366.06,sports
I000004858,O0001648,P0454,9,288.88,home_garden
I000002432,O0000824,P0149,1,348.73,clothing
I000003603,O0001224,P0473,9,80.47,toys
I000004982,O0001690,P0387,8,469.88,toys
I000000478,O0000168,P0184,8,342.96,sports
I000000339,O0000119,P0491,4,281.41,food_drink
I000005688,O0001917,P0220,5,331.25,books
I000004652,O0001581,P0478,1,459.58,beauty
I000003526,O0001199,P0023,2,364.48,clothing
I000000246,O0000087,P0262,5,283.68,toys
I000001505,O0000510,P0372,6,496.6,beauty
I000002415,O0000820,P0218,7,288.06,books
I000002933,O0000988,P0435,9,327.06,books
I000004440,O0001508,P0146,7,160.6,food_drink
I000003557,O0001210,P0381,6,85.9,sports
I000004552,O0001548,P0349,6,477.38,clothing
I000003288,O0001118,P0381,8,36.66,clothing
I000002170,O0000734,P0116,5,93.53,electronics
I000000873,O0000302,P0264,1,166.95,clothing
I000004925,O0001668,P0172,2,414.03,toys
I000005618,O0001892,P0251,1,201.0,beauty
I000004873,O0001651,P0081,1,114.05,books
I000003197,O0001089,P0268,1,344.19,books
I000006110,O_GHOST_10935,P0394,1,37.06,home_garden
I000005282,O0001787,P0355,9,378.32,home_garden
I000000032,O0000013,P0125,6,120.34,beauty
I000003265,O0001110,P0389,7,290.98,home_garden
I000006150,O_GHOST_99558,P0477,7,443.81,food_drink
I000002136,O0000720,P0227,7,90.24,sports
I000003335,O0001130,P0379,1,309.26,toys
I000001782,O0000606,P0159,6,467.61,electronics
I000005738,O0001931,P0394,4,50.23,food_drink
I000005534,O0001867,P0035,8,350.02,home_garden
I000000521,O0000182,P0221,7,355.79,clothing
I000002810,O0000945,P0343,2,364.1,sports
I000000530,O0000184,P0353,9,357.13,food_drink
I000000538,O0000187,P0328,4,126.56,home_garden
I000002344,O0000793,P0392,7,296.5,sports
I000003932,O0001344,P0438,9,9.58,electronics
I000002290,O0000778,P0388,7,460.39,beauty
I000005901,O0001977,P0479,7,327.14,home_garden
I000000554,O0000195,P0171,2,311.62,electronics
I000003910,O0001333,P0279,4,456.74,toys
I000000618,O0000216,P0014,9,373.37,food_drink
I000004786,O0001624,P0008,7,439.23,sports
I000003182,O0001084,P0039,9,8.76,food_drink
I000003271,O0001111,P0108,1,7.9,home_garden
I000006187,O_GHOST_77634,P0245,1,455.66,food_drink
I000005627,O0001895,P0368,6,60.53,books
I000003122,O0001059,P0121,9,323.19,sports
I000005378,O0001820,P0472,3,36.99,beauty
I000002028,O0000684,P0454,5,491.98,home_garden
I000003596,O0001222,P0082,1,256.98,food_drink
I000002742,O0000924,P0282,4,345.62,electronics
I000004748,O0001612,P0256,4,306.68,toys
I000000985,O0000337,P0069,8,100.27,home_garden
I000004359,O0001486,P0196,3,75.91,sports
I000002730,O0000920,P0090,7,207.56,beauty
I000000467,O0000165,P0496,5,77.24,home_garden
I000003940,O0001348,P0123,2,141.79,books
I000000498,O0000175,P0462,1,239.72,toys
I000000693,O0000242,P0422,1,373.2,beauty
I000003527,O0001199,P0121,8,113.2,electronics
I000005092,O0001727,P0392,3,304.08,sports
I000004657,O0001584,P0456,8,190.21,beauty
I000001006,O0000346,P0466,3,160.68,toys
I000000160,O0000060,P0196,9,107.51,beauty
I000003762,O0001279,P0164,4,278.19,books
I000002612,O0000881,P0205,3,185.28,beauty
I000003927,O0001341,P0112,2,346.38,clothing
I000003151,O0001071,P0276,3,363.62,electronics
I000000871,O0000302,P0031,6,76.81,electronics
I000000096,O0000037,P0225,5,225.58,clothing
I000005868,O0001968,P0164,7,389.07,food_drink
I000000731,O0000256,P0407,8,85.28,home_garden
I000005329,O0001805,P0023,8,333.6,food_drink
I000001436,O0000488,P0443,3,40.94,electronics
I000001322,O0000447,P0203,5,419.6,clothing
I000002484,O0000840,P0234,3,17.48,clothing
I000004005,O0001368,P0285,5,1.84,food_drink
I000000371,O0000129,P0457,3,228.51,home_garden
I000003264,O0001109,P0082,5,488.6,electronics
I000002734,O0000921,P0389,6,52.82,books
I000004514,O0001534,P0365,4,176.34,sports
I000002472,O0000835,P0365,4,62.23,home_garden
I000005685,O0001917,P0224,5,494.35,toys
I000000346,O0000121,P0299,9,166.22,sports
I000003593,O0001221,P0309,2,479.06,beauty
I000005508,O0001857,P0366,2,292.7,books
I000001285,O0000434,P0498,8,470.92,sports
I000001711,O0000582,P0238,1,189.39,toys
I000000294,O0000102,P0430,6,307.68,beauty
I000002540,O0000857,P0369,2,200.48,beauty
I000004761,O0001616,P0189,6,199.89,sports
I000001727,O0000588,P0224,6,75.85,food_drink
I000001005,O0000345,P0424,4,125.98,home_garden
I000000427,O0000150,P0111,6,309.31,sports
I000004439,O0001507,P0478,7,173.81,sports
I000003117,O0001057,P0246,6,487.26,sports
I000000504,O0000177,P0320,3,319.77,food_drink
I000001848,O0000627,P0298,7,395.22,toys
I000005254,O0001779,P0044,3,200.25,home_garden
I000001447,O0000491,P0018,1,352.39,beauty
I000001728,O0000589,P0453,1,362.8,sports
I000006203,O_GHOST_29748,P0473,4,436.16,home_garden
I000005617,O0001891,P0016,1,380.33,books
I000004927,O0001669,P0497,5,160.58,electronics
I000002491,O0000842,P0186,4,105.8,sports
I000004580,O0001557,P0119,7,221.3,sports
I000006010,O_GHOST_76918,P0455,2,323.98,toys
I000004238,O0001448,P0220,2,210.01,food_drink
I000004201,O0001436,P0159,7,393.21,beauty
I000000794,O0000275,P0443,8,159.17,food_drink
I000000961,O0000326,P0005,7,413.46,food_drink
I000003495,O0001185,P0064,8,391.24,beauty
I000004834,O0001641,P0199,3,127.24,electronics
I000000081,O0000034,P0350,8,35.19,clothing
I000001694,O0000574,P0005,7,223.34,food_drink
I000000392,O0000138,P0350,2,300.41,clothing
I000000917,O0000314,P0369,3,481.21,
I000003646,O0001243,P0336,9,341.44,toys
I000005230,O0001770,P0240,1,428.99,toys
I000006151,O_GHOST_42663,P0106,9,328.69,toys
I000004883,O0001655,P0472,3,464.6,books
I000000200,O0000071,P0356,5,28.74,sports
I000000182,O0000066,P0417,8,99.79,
I000000633,O0000220,P0032,7,258.28,food_drink
I000000571,O0000200,P0190,2,347.09,toys
I000004137,O0001412,P0202,3,73.37,food_drink
I000003851,O0001311,P0101,7,49.51,toys
I000000070,O0000029,P0389,3,5.74,home_garden
I000004845,O0001643,P0327,4,275.0,home_garden
I000003892,O0001328,P0441,7,74.04,toys
I000000605,O0000212,P0383,4,67.43,beauty
I000002860,O0000962,P0210,3,429.93,food_drink
I000003942,O0001348,P0370,9,217.36,beauty
I000005815,O0001952,P0222,9,293.2,home_garden
I000004702,O0001601,P0191,8,445.06,clothing
I000006189,O_GHOST_04143,P0413,3,58.09,electronics
I000003870,O0001320,P0101,2,436.19,electronics
I000000899,O0000309,P0063,1,314.97,sports
I000001155,O0000391,P0014,6,96.48,
I000002084,O0000703,P0322,9,57.63,beauty
I000003482,O0001177,P0184,1,244.45,food_drink
I000000557,O0000196,P0029,3,150.99,electronics
I000005885,O0001971,P0482,9,124.39,clothing
I000000038,O0000015,P0020,1,320.99,books
I000000755,O0000263,P0019,4,215.93,toys
I000003602,O0001224,P0250,3,354.89,
I000005835,O0001957,P0486,9,267.1,books
I000003770,O0001282,P0458,7,61.91,toys
I000005479,O0001848,P0476,4,328.74,toys
I000004662,O0001586,P0105,3,162.0,beauty
I000000550,O0000193,P0015,8,276.23,toys
I000005177,O0001751,P0100,1,277.12,toys
I000003089,O0001047,P0006,3,9.82,
I000000629,O0000220,P0459,9,157.91,sports
I000004417,O0001502,P0438,9,175.68,toys
I000003131,O0001064,P0185,4,160.12,sports
I000001754,O0000597,P0193,8,484.32,home_garden
I000000815,O0000283,P0110,3,295.4,electronics
I000001135,O0000386,P0495,9,321.95,books
I000000409,O0000146,P0152,1,254.23,beauty
I000003141,O0001067,P0110,8,170.72,clothing
I000001227,O0000414,P0334,8,378.48,beauty
I000003582,O0001218,P0418,6,293.75,books
I000004510,O0001533,P0053,8,215.23,books
I000002981,O0001003,P0233,1,447.35,electronics
I000002145,O0000722,P0007,7,81.52,toys
I000001412,O0000480,P0013,9,364.93,food_drink
I000001778,O0000605,P0064,9,388.26,home_garden
I000001302,O0000439,P0334,7,343.7,books
I000003019,O0001018,P0341,5,450.6,home_garden
I000004023,O0001374,P0160,3,225.66,books
I000003647,O0001243,P0099,9,343.27,home_garden
I000000653,O0000229,P0303,7,276.89,food_drink
I000004912,O0001664,P0435,4,29.63,home_garden
I000006052,O_GHOST_94280,P0386,4,124.2,beauty
I000003223,O0001095,P0296,8,164.87,home_garden
I000002391,O0000811,P0128,8,78.75,toys
I000005790,O0001946,P0181,7,69.33,books
I000001326,O0000447,P0297,2,478.63,home_garden
I000003163,O0001074,P0149,1,195.39,beauty
I000000552,O0000194,P0245,7,477.82,food_drink
I000004309,O0001471,P0393,5,429.98,electronics
I000000006,O0000003,P0464,9,451.06,beauty
I000004307,O0001471,P0177,5,139.32,toys
I000004325,O0001476,P0172,6,384.26,sports
I000002561,O0000863,P0473,4,55.98,sports
I000001757,O0000598,P0086,1,458.55,electronics
I000004582,O0001557,P0123,5,466.13,clothing
I000004470,O0001519,P0086,7,330.34,electronics
I000001655,O0000562,P0139,8,248.76,food_drink
I000001314,O0000444,P0460,4,463.5,home_garden
I000000373,O0000130,P0398,6,159.9,food_drink
I000004065,O0001386,P0065,5,453.35,toys
I000005774,O0001940,P0482,6,377.31,books
I000004317,O0001473,P0084,4,400.26,home_garden
I000002563,O0000864,P0461,6,404.37,food_drink
I000004527,O0001539,P0098,7,459.22,food_drink
I000000939,O0000321,P0390,4,109.16,clothing
I000000627,O0000219,P0048,8,163.47,home_garden
I000001437,O0000488,P0420,2,203.97,sports
I000001485,O0000503,P0172,4,399.67,home_garden
I000004160,O0001421,P0091,6,446.89,sports
I000000007,O0000003,P0070,2,304.46,home_garden
I000003118,O0001058,P0221,4,292.22,sports
I000002434,O0000824,P0264,3,406.48,books
I000002683,O0000908,P0330,5,59.29,books
I000001630,O0000553,P0311,6,425.38,food_drink
I000000710,O0000248,P0057,3,300.75,books
I000003637,O0001237,P0021,7,117.96,sports
I000003273,O0001112,P0106,7,444.73,food_drink
I000000734,O0000257,P0165,6,29.23,books
I000002727,O0000920,P0483,3,201.55,home_garden
I000004690,O0001597,P0427,9,437.65,toys
I000004175,O0001427,P0430,8,95.14,
I000000190,O0000068,P0344,8,289.0,books
I000004688,O0001595,P0426,4,405.27,food_drink
I000003671,O0001250,P0272,6,322.05,books
I000000090,O0000036,P0360,2,140.68,electronics
I000004246,O0001451,P0374,7,263.0,toys
I000005083,O0001723,P0336,5,297.09,beauty
I000005539,O0001868,P0270,2,256.01,electronics
